"UT","KeyWord","SDG","Type","Freq"
"WOS:000311688900002","INCOME#POVERTY"," 1","INCOME#POVERTY","1"
"WOS:000539366000001","INCOME#POVERTY"," 1","INCOME#POVERTY","1"
"WOS:000221456600003","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000237423500003","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000244442600001","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000244500900001","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000284631400011","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000290181400003","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000307485000006","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000307635400001","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000311688900002","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000347440700048","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000357753800007","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000363553100003","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000382797300003","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000391056700004","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000396607200002","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000405859500010","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000410913600001","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000418360700007","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000454961400006","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000456426900007","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000461854800064","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000474191500012","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000528399700001","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000535598700292","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000539366000001","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000577322100001","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000635669500001","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000645745800001","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000686590300019","POVERTY#SUSTAINABLE"," 1","POVERTY#SUSTAINAB*","1"
"WOS:000246592000015","SUSTAINABLE#POOR"," 1","SUSTAINAB*#POOR","1"
"WOS:000265860500007","SUSTAINABLE#POOR"," 1","SUSTAINAB*#POOR","1"
"WOS:000357549300014","SUSTAINABLE#POOR"," 1","SUSTAINAB*#POOR","1"
"WOS:000377889700003","SUSTAINABLE#POOR"," 1","SUSTAINAB*#POOR","1"
"WOS:000382797300003","SUSTAINABLE#POOR"," 1","SUSTAINAB*#POOR","1"
"WOS:000451531700010","SUSTAINABLE#POOR"," 1","SUSTAINAB*#POOR","1"
"WOS:000454041400008","SUSTAINABLE#POOR"," 1","SUSTAINAB*#POOR","1"
"WOS:000477051900218","SUSTAINABLE#POOR"," 1","SUSTAINAB*#POOR","1"
"WOS:000478391400001","SUSTAINABLE#POOR"," 1","SUSTAINAB*#POOR","1"
"WOS:000486221900008","SUSTAINABLE#POOR"," 1","SUSTAINAB*#POOR","1"
"WOS:000551066100002","SUSTAINABLE#POOR"," 1","SUSTAINAB*#POOR","1"
"WOS:000604548700005","SUSTAINABLE#POOR"," 1","SUSTAINAB*#POOR","1"
"WOS:A1995RJ51500003","SUSTAINABLE#POOR"," 1","SUSTAINAB*#POOR","1"
