"V1","V2"
"11_12_3","ST_ST_TD"
"12_3_9","ST_ST_TD"
"12_3_9","ST_ST_TD"
"12_3_9","ST_ST_TD"
"12_3_9","ST_ST_TD"
"12_3_8","ST_TD_TD"
"12_13_3","ST_TD_TD"
"12_12_3","ST_TD_TD"
"12_3_9","ST_ST_TD"
"12_17_3","FC_ST_TD"
"12_9_9","ST_ST_TD"
"11_12_9","ST_ST_TD"
"11_12_3","ST_ST_TD"
"11_12_9","ST_ST_TD"
"11_12_8","ST_TD_TD"
"11_11_12","ST_ST_TD"
"11_12_7","ST_ST_TD"
"11_12_9","ST_ST_TD"
"11_12_17","FC_ST_TD"
"12_17_7","FC_ST_TD"
"12_12_17","FC_TD_TD"
"12_17_8","FC_TD_TD"
"12_17_9","FC_ST_TD"
"12_17_7","FC_ST_TD"
"12_17_4","FC_ST_TD"
"11_12_17","FC_ST_TD"
"12_17_8","FC_TD_TD"
"12_17_4","FC_ST_TD"
"12_17_8","FC_TD_TD"
"12_12_17","FC_TD_TD"
"11_12_17","FC_ST_TD"
"12_12_17","FC_TD_TD"
"12_17_7","FC_ST_TD"
"12_17_8","FC_TD_TD"
"12_17_9","FC_ST_TD"
"12_12_17","FC_TD_TD"
"11_12_17","FC_ST_TD"
"1_12_17","FC_TD_TD"
"12_17_9","FC_ST_TD"
"12_12_17","FC_TD_TD"
"12_12_17","FC_TD_TD"
"12_12_17","FC_TD_TD"
"12_17_9","FC_ST_TD"
"12_17_17","FC_FC_TD"
"12_17_4","FC_ST_TD"
"12_17_17","FC_FC_TD"
"12_12_17","FC_TD_TD"
"12_12_17","FC_TD_TD"
"12_17_9","FC_ST_TD"
"12_17_9","FC_ST_TD"
"12_17_9","FC_ST_TD"
"12_17_3","FC_ST_TD"
"12_17_9","FC_ST_TD"
"12_17_9","FC_ST_TD"
"12_17_9","FC_ST_TD"
"11_12_17","FC_ST_TD"
"12_17_7","FC_ST_TD"
"12_17_7","FC_ST_TD"
"12_17_9","FC_ST_TD"
"12_17_8","FC_TD_TD"
"12_17_8","FC_TD_TD"
"12_17_3","FC_ST_TD"
"11_12_17","FC_ST_TD"
"12_12_17","FC_TD_TD"
"12_17_8","FC_TD_TD"
"12_17_9","FC_ST_TD"
"12_12_17","FC_TD_TD"
"11_12_17","FC_ST_TD"
"11_12_9","ST_ST_TD"
"12_7_9","ST_ST_TD"
"11_12_9","ST_ST_TD"
"12_9_9","ST_ST_TD"
"12_8_9","ST_TD_TD"
"12_8_9","ST_TD_TD"
"12_7_9","ST_ST_TD"
"12_8_9","ST_TD_TD"
"12_8_9","ST_TD_TD"
"12_9_9","ST_ST_TD"
"12_7_9","ST_ST_TD"
"11_12_9","ST_ST_TD"
"12_9_9","ST_ST_TD"
"12_12_9","ST_TD_TD"
"12_12_9","ST_TD_TD"
"12_12_9","ST_TD_TD"
"12_7_8","ST_TD_TD"
"12_12_7","ST_TD_TD"
"12_7_7","ST_ST_TD"
"11_12_2","ST_ST_TD"
"12_2_7","ST_ST_TD"
"12_2_8","ST_TD_TD"
"12_17_2","FC_ST_TD"
"12_2_9","ST_ST_TD"
"12_2_7","ST_ST_TD"
"12_2_4","ST_ST_TD"
"12_2_8","ST_TD_TD"
"11_12_2","ST_ST_TD"
"12_2_8","ST_TD_TD"
"12_2_4","ST_ST_TD"
"12_2_8","ST_TD_TD"
"12_2_8","ST_TD_TD"
"12_2_2","ST_ST_TD"
"12_12_2","ST_TD_TD"
"11_12_2","ST_ST_TD"
"12_12_2","ST_TD_TD"
"12_12_2","ST_TD_TD"
"12_2_7","ST_ST_TD"
"12_2_8","ST_TD_TD"
"12_12_2","ST_TD_TD"
"12_2_4","ST_ST_TD"
"12_17_2","FC_ST_TD"
"12_12_2","ST_TD_TD"
"12_12_2","ST_TD_TD"
"12_12_2","ST_TD_TD"
